Unnamed: 0,Unnamed: 0.1,image1,image2,image3,image4,image5,loc_dirty,Is there junk?,Is there a lot of trash?,Is there a lot of garbage?,Is there a lot of waste?,Is there a lot of rubbish?,Is there any type of junk?,Is there any metal on the ground?,Is there water?,Is there grass?,Is there sand?,Are there buildings?,Are there structures?,Are there walls?,Is the ground sand?,Are there stones?,Are there houses?,Are there trees?,The left image has a lot more trash than the right image_nlvr_class1,The left image has a lot more trash than the right image_nlvr_class2,The left image has a lot more trash than the right image_nlvr_class3,The left image has a lot more trash than the right image_nlvr_class4,The left image has a lot more trash than the right image_nlvr_class5,The left image has a lot more waste than the right image_nlvr_class1,The left image has a lot more waste than the right image_nlvr_class2,The left image has a lot more waste than the right image_nlvr_class3,The left image has a lot more waste than the right image_nlvr_class4,The left image has a lot more waste than the right image_nlvr_class5,The left image shows a lot more garbage than the right image_nlvr_class1,The left image shows a lot more garbage than the right image_nlvr_class2,The left image shows a lot more garbage than the right image_nlvr_class3,The left image shows a lot more garbage than the right image_nlvr_class4,The left image shows a lot more garbage than the right image_nlvr_class5,scaled_loc_dirty
0,2230,1643010484903.jpg,1643010503839.jpg,1643010515868.jpg,1643010540005.jpg,1643010555732.jpg,5,0.4,0.6,0.4,0.6,0.6,0.4,0.4,0.2,0.0,0.0,0.6,0.4,1.0,0.0,0.4,0.6,0.2,3.4417482875287533,3.551073094829917,3.385583696886897,3.3949147406965494,3.3536879159510136,3.68926321901381,3.7106295879930262,3.731851434335113,3.6879207454621787,3.671641241759062,3.163854196667671,3.296141969040036,3.211537899449468,2.8446184638887644,2.856041517108679,3.0
1,2231,1643010836826.jpg,1643010855005.jpg,1643010877702.jpg,1643010898928.jpg,1643010939950.jpg,0,0.2,0.0,0.0,0.2,0.0,0.2,0.4,0.6,0.0,0.0,0.6,0.6,0.8,0.0,1.0,0.6,0.8,2.583568926900625,2.8218265548348427,2.5001510772854094,2.494871739298105,2.3814951740205292,3.9340160489082336,3.977328568696976,4.059495866298676,3.96723622083664,3.800856024026871,1.4527049120515585,1.5898213824257257,1.547990549355745,1.1838615890592337,1.2355288546532393,1.0
2,2232,1643011648146.jpg,1643011670976.jpg,1643011685256.jpg,1643011694075.jpg,1643011708360.jpg,1,0.2,0.4,0.2,0.0,0.2,0.2,0.0,0.8,0.0,0.2,0.4,0.2,0.4,0.2,0.2,0.6,0.6,1.1563313454389572,1.1996382400393486,1.1670764908194542,1.137490138411522,1.1692901141941547,2.939441904425621,2.9756567925214767,3.154174506664276,3.0445488989353184,2.5942308753728867,1.0105533078312874,1.01634704740718,1.0183499217964709,0.9949568626470864,1.0129524974618107,1.0
3,2233,1643012296902.jpg,1643012311321.jpg,1643012328586.jpg,1643012339043.jpg,1643012361090.jpg,5,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.2,0.0,0.2,0.2,0.2,0.6,0.4,0.0,0.4,0.0,2.0887517966330047,2.2698501311242585,2.03538429737091,2.0129523910582066,2.152719259262085,2.0977236777544017,2.1301175206899643,2.169176336377859,2.099805682897568,2.2788598574697967,1.7703074235469105,1.8921376802027223,1.8430361729115248,1.5343667808920145,1.693453285843134,3.0
4,2234,1643013021842.jpg,1643013042168.jpg,1643013064551.jpg,1643013078999.jpg,1643013093351.jpg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.6,0.6,0.8,0.4,0.8,0.8,0.8,1.929949566721916,2.12850084900856,1.906221330165863,1.8502489402890203,2.1280170679092407,1.9291786178946493,1.9725477322936056,2.0406100004911423,1.9422689527273176,2.148336544632912,0.3859317013993859,0.451007217168808,0.4554752968251705,0.3090611919760704,0.5502478741109371,1.0
5,2235,1643013732480.jpg,1643013791156.jpg,1643013810250.jpg,1643013833978.jpg,1643013856460.jpg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.6,0.6,0.6,0.8,0.8,1.0,0.6,0.4,2.5961177200078964,2.7780161798000336,2.5623281598091125,2.5300358533859253,2.4718555808067317,3.699880003929138,3.744770348072052,3.8686928749084473,3.7604964971542363,3.5219227373600006,2.86820219270885,3.0194697375409305,2.9460528111085296,2.4758721734397118,2.271325492300093,1.0
6,2236,1643015915330.jpg,1643016034331.jpg,1643016063553.jpg,1643016092174.jpg,1643016114603.jpg,1,0.4,0.4,0.4,0.2,0.6,0.6,0.2,0.6,0.0,0.2,0.8,0.4,0.6,0.4,0.2,0.6,0.4,2.0386490188539033,2.218303896486759,2.006799787282944,1.9693737663328648,2.0893762558698654,1.990573473274708,2.027789417654276,2.0938232094049454,2.0087347514927387,2.1367674842476845,2.0714898221194744,2.2478249892592435,2.1715750768780713,1.709757320582867,1.7877334952354431,1.0
7,2237,1643018758863.jpg,1643018771978.jpg,1643018785621.jpg,1643018802304.jpg,1643018817663.jpg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.4,0.2,0.0,0.6,0.6,0.8,0.4,0.2,1.715013861656189,1.89364929497242,1.6988090872764587,1.6431215554475784,1.8696903437376025,1.8130721934139729,1.8444841764867304,1.9221236631274223,1.8387365639209747,1.9448129944503307,0.6374798603355885,0.7411164864897728,0.7311376146972179,0.4840306900441647,0.7068885415792465,1.0
8,2238,1643019091275.jpg,1643019131825.jpg,1643019145754.jpg,1643019189600.jpg,1643019216604.jpg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.8,0.6,0.0,0.2,0.8,0.4,0.4,0.2,3.0969838895834982,3.1715237768366933,3.0755856642499566,3.0700189261697237,3.0734861530363564,3.2805878904182464,3.291796658886597,3.310735931387171,3.2865961026400328,3.352834230288863,3.0570686567807566,3.159628269961104,3.1105626663193107,2.835032554576173,2.8520480301231146,1.0
9,2239,1643020175176.jpg,1643020186507.jpg,1643020198910.jpg,1643020218120.jpg,1643020254066.jpg,2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.6,0.2,0.0,0.6,0.6,0.8,0.4,0.2,2.3999815480783577,2.587855374440551,2.3371738772839312,2.3280639918521047,2.3054578825831413,2.6933478973805904,2.717593964189291,2.7771068960428242,2.718042433261872,2.703740693628788,1.8439801484346392,2.0019870419055223,1.9444669894874096,1.523594418540597,1.553690783679485,1.0
